a,b,c,t,e,et
1.0,2400,6,7.5,74.196821930707,0.2362993873384056
1.0,2400,6,8.0,74.2827304986729,0.1347623421668942
1.0,2400,6,8.5,74.3315842728739,0.07058413613219727
1.0,2400,6,9.0,74.3533146348051,0.03017764436270909
1.0,2400,6,9.5,74.3617619172366,0.012815669679596908
1.0,2400,6,10.0,74.3661303044847,0.004657879312773616
1.0,2400,7,0.0,0.0,65.8413165838223
1.0,2400,7,0.5,26.4637633686242,40.0137368906745
1.0,2400,7,1.0,40.0137368906745,22.381849736383202
1.0,2400,7,1.5,48.8456131050074,15.951164761248002
1.0,2400,7,2.0,55.9649016519225,12.793644422616701
1.0,2400,7,2.5,61.6392575276241,10.141448311107396
1.0,2400,7,3.0,66.1063499630299,7.935259205540795
1.0,2400,7,3.5,69.5745167331649,6.1187977249146
1.0,2400,7,4.0,72.2251476879445,4.641609949413706
1.0,2400,7,4.5,74.2161266825786,3.4558589020190027
1.0,2400,7,5.0,75.6810065899635,2.5189597369091956
1.0,2400,7,5.5,76.7350864194878,1.7914458866159038
1.0,2400,7,6.0,77.4724524765794,1.2379474719217995
1.0,2400,7,6.5,77.9730338914096,0.8271527716005949
1.0,2400,7,7.0,78.29960524818,0.5304072520464018
1.0,2400,7,7.5,78.503441143456,0.3227755579626006
1.0,2400,7,8.0,78.6223808061426,0.18837509746940384
1.0,2400,7,8.5,78.6918162409254,0.10103243917619409
1.0,2400,7,9.0,78.7234132453188,0.041126364390592585
1.0,2400,7,9.5,78.732942605316,0.0162874490354028
1.0,2400,7,10.0,78.7397006943542,0.010744907117384628
1.2,1500,3,0.0,0.0,24.37622497313584
1.2,1500,3,0.5,9.98915024201521,15.580375994925
1.2,1500,3,1.0,15.580375994925,9.667400818142891
1.2,1500,3,1.5,19.6565510601581,7.714352651788602
1.2,1500,3,2.0,23.2947286467136,6.8622961072635995
1.2,1500,3,2.5,26.5188471674217,6.0582368899709
1.2,1500,3,3.0,29.3529655366845,5.302446811734001
1.2,1500,3,3.5,31.8212939791557,4.595141246630696
1.2,1500,3,4.0,33.9481067833152,3.9366604373017005
1.2,1500,3,4.5,35.7579544164574,3.327251874974202
1.2,1500,3,5.0,37.2753586582894,2.767313794865096
1.2,1500,3,5.5,38.5252682113225,2.257181119817105
1.2,1500,3,6.0,39.5325397781065,1.7972707043327034
1.2,1500,3,6.5,40.3225389156552,1.3881599374449962
1.2,1500,3,7.0,40.9206997155515,1.030142942964801
1.2,1500,3,7.5,41.35268185862,0.7281084050554014
1.2,1500,3,8.0,41.6488081206069,0.466218790884497
1.2,1500,3,8.5,41.8189006495045,0.26672762041430076
1.2,1500,3,9.0,41.9155357410212,0.10642603846299892
1.2,1500,3,9.5,41.9253266879675,0.029722516223195328
1.2,1500,3,10.0,41.9452582572444,0.050003760884393955
1.2,1500,4,0.0,0.0,31.7623526150444
1.2,1500,4,0.5,13.8625959434544,23.6880311587732
1.2,1500,4,1.0,23.6880311587732,16.8674832984373
1.2,1500,4,1.5,30.7300792418917,12.393624937088802
1.2,1500,4,2.0,36.081656095862,9.3631402346601
1.2,1500,4,2.5,40.0932194765518,6.972335004458699
1.2,1500,4,3.0,43.0539911003207,5.1103624995949986
1.2,1500,4,3.5,45.2035819761468,3.679458718768899
1.2,1500,4,4.0,46.7334498190896,2.597119062898898
1.2,1500,4,4.5,47.8007010390457,1.7925960205144023
1.2,1500,4,5.0,48.526045839604,1.205898043743204
1.2,1500,4,5.5,49.0065990827889,0.7881723552604001
1.2,1500,4,6.0,49.3142181948644,0.4976662440386974
1.2,1500,4,6.5,49.5042653268276,0.3019031681951958
1.2,1500,4,7.0,49.6161213630596,0.17642961998539874
1.2,1500,4,7.5,49.680694946813,0.09667922970410103
1.2,1500,4,8.0,49.7128005927637,0.04778660012389935
1.2,1500,4,8.5,49.7284815469369,0.022044828648802195
1.2,1500,4,9.0,49.7348454214125,0.008295282992001773
1.2,1500,4,9.5,49.7367768299289,0.0031131079418997842
1.2,1500,4,10.0,49.7379585293544,0.0016136897601199962
1.2,1500,5,0.0,0.0,46.513573715141305
1.2,1500,5,0.5,18.0553453456058,25.7078076672819
1.2,1500,5,1.0,25.7078076672819,12.5792996135666
1.2,1500,5,1.5,30.6346449591724,9.3129186184925
1.2,1500,5,2.0,35.0207262857744,8.264058152239198
1.2,1500,5,2.5,38.8987031114116,7.280421861397201
1.2,1500,5,3.0,42.3011481471716,6.361660320200002
1.2,1500,5,3.5,45.2603634316116,5.5073655445343945
1.2,1500,5,4.0,47.808513691706,4.717196526712598
1.2,1500,5,4.5,49.9775599583242,3.9906520481446037
1.2,1500,5,5.0,51.7991657398506,3.3273781094681993
1.2,1500,5,5.5,53.3049380677924,2.726764198465702
1.2,1500,5,6.0,54.5259299383163,2.188414134487104
1.2,1500,5,6.5,55.4933522022795,1.7116196592040964
1.2,1500,5,7.0,56.2375495975204,1.2958297561333936
1.2,1500,5,7.5,56.7891819584129,0.940524571707698
1.2,1500,5,8.0,57.1780741692281,0.6442245088868006
1.2,1500,5,8.5,57.4334064672997,0.4054509685398031
1.2,1500,5,9.0,57.5835251377679,0.21869380147479944
1.2,1500,5,9.5,57.6521002687745,0.10059496872860052
